relation_type,valid_subject_classes,valid_object_classes,predicate_synonyms
subsidiary_of,Company,Company,subsidiary of|is a subsidiary of|owned by|is owned by
acquired,Company|Person,Company|Project,acquired|purchased|bought
invested_in,Person|Company,Company|Project,invested in|invests in|funded|financed
owns,Person|Company,Project|Company|Account,owns
employed_by,Person,Company,employed by|works for|works at|employee of
member_of,Person,Company|Project,member of|part of|belongs to
located_in,Company|Project|Person,Location,located in|based in|headquartered in|situated in
manages,Person,Company|Project,manages|oversees|leads|runs
contributes_to,Person,Project,contributes to|maintains|develops|built
leases,Person|Company,Project|Account,leases|rents|occupies
